Phy,Domatia
Callerya_nieuwenhuisii,1
Pithecellobium_saman,1
Saraca_thaipingensis,1
Andira_sapindoides,1
Andira_vermifuga,1
Ormosia_macrophylla,1
Spatholobus_bracteolatus,1
Spatholobus_oblongifolius,1
Platymiscium_darienense,1
Platymiscium_dimorphandrum,1
Platymiscium_filipes,1
Platymiscium_floribundum,1
Platymiscium_gracile,1
Platymiscium_pinnatum,1
Platymiscium_speciosum,1
Platymiscium_stipulare,1
Platymiscium_trinitatis,1
Platymiscium_ulei,1
Calpocalyx_cauliflorus,1
Humboldtia_brunonis,1
Humboldtia_decurrens,1
Humboldtia_laurifolia,1
Leonardoxa_africana,1
Macrolobium_acaciifolium,1
Tachigali_argyrophylla,1
Tachigali_candelabrum,1
Tachigali_catingae,1
Tachigali_cavipes,1
Tachigali_cenepensis,1
Tachigali_chrysophylla,1
Tachigali_dwyeri,1
Tachigali_formicarum,1
Tachigali_fusca,1
Tachigali_glauca,1
Tachigali_grandistipulata,1
Tachigali_longiflora,1
Tachigali_loretensis,1
Tachigali_macbridei,1
Tachigali_myrmecophila,1
Tachigali_odoratissima,1
Tachigali_paniculata,1
Tachigali_physophora,1
Tachigali_plumbea,1
Tachigali_poeppigiana,1
Tachigali_ptychophysca,1
Tachigali_rigida,1
Tachigali_schultesiana,1
Tachigali_vaupesiana,1
Tachigali_venusta,1
Alexa_cowanii,1
Pterocarpus_amazonum,1
Acacia_bullockii,1
Acacia_burttii,1
Acacia_bussei,1
Acacia_cedilloi,1
Acacia_chiapensis,1
Acacia_collinsii,1
Acacia_cornigera,1
Acacia_drepanolobium,1
Acacia_elatior,1
Acacia_erythrophloea,1
Acacia_gentlei,1
Acacia_globulifera,1
Acacia_hindsii,1
Acacia_hirtipes,1
Acacia_horrida,1
Acacia_leucophloea,1
Acacia_luederitzii,1
Acacia_malacocephala,1
Acacia_mayana,1
Acacia_mbuluensis,1
Acacia_melanoceras,1
Acacia_myrmecophila,1
Acacia_pseudofistula,1
Acacia_seyal,1
Acacia_sphaerocephala,1
Acacia_zanzibarica,1
