"Domatia","Phy","matched_name","RangeY","EFNY"
1,"Acacia bullockii","Acacia bullockii",FALSE,FALSE
1,"Acacia burttii","Acacia burttii",FALSE,FALSE
1,"Acacia bussei","Acacia bussei",FALSE,FALSE
1,"Acacia cedilloi","Acacia cedilloi",FALSE,FALSE
1,"Acacia chiapensis","Acacia chiapensis",FALSE,TRUE
1,"Acacia collinsii","Acacia collinsii",TRUE,TRUE
1,"Acacia cornigera","Acacia cornigera",TRUE,TRUE
1,"Acacia drepanolobium","Acacia drepanolobium",FALSE,FALSE
1,"Acacia elatior","Acacia elatior",TRUE,FALSE
1,"Acacia erythrophloea","Acacia erythrophloea",FALSE,FALSE
1,"Acacia gentlei","Acacia gentlei",FALSE,TRUE
1,"Acacia globulifera","Acacia globulifera",FALSE,TRUE
1,"Acacia hindsii","Acacia hindsii",FALSE,TRUE
1,"Acacia hirtipes","Acacia hirtipes",FALSE,FALSE
1,"Acacia horrida","Acacia horrida",TRUE,FALSE
1,"Acacia leucophloea","Acacia leucophloea",TRUE,TRUE
1,"Acacia luederitzii","Acacia luederitzii",TRUE,FALSE
1,"Acacia malacocephala","Acacia malacocephala",FALSE,FALSE
1,"Acacia mayana","Acacia mayana",FALSE,TRUE
1,"Acacia mbuluensis","Acacia mbuluensis",FALSE,FALSE
1,"Acacia melanoceras","Acacia melanoceras",FALSE,TRUE
1,"Acacia myrmecophila","Acacia myrmecophila",FALSE,FALSE
1,"Acacia pseudofistula","Acacia pseudofistula",FALSE,FALSE
1,"Acacia seyal","Acacia seyal",TRUE,FALSE
1,"Acacia sphaerocephala","Acacia sphaerocephala",FALSE,TRUE
1,"Acacia zanzibarica","Acacia zanzibarica",TRUE,FALSE
1,"Alexa cowanii","Alexa cowanii",FALSE,FALSE
1,"Andira sapindoides","Andira sapindoides",FALSE,FALSE
1,"Andira vermifuga","Andira vermifuga",FALSE,FALSE
1,"Callerya nieuwenhuisii","Callerya nieuwenhuisii",FALSE,FALSE
1,"Calpocalyx cauliflorus","Calpocalyx cauliflorus",FALSE,FALSE
1,"Humboldtia brunonis","Humboldtia brunonis",FALSE,TRUE
1,"Humboldtia decurrens","Humboldtia decurrens",FALSE,FALSE
1,"Humboldtia laurifolia","Humboldtia laurifolia",TRUE,TRUE
1,"Leonardoxa africana","Leonardoxa africana",FALSE,TRUE
1,"Macrolobium acaciifolium","Macrolobium acaciifolium",TRUE,FALSE
1,"Ormosia macrophylla","Ormosia macrophylla",FALSE,FALSE
1,"Pithecellobium saman","Pithecellobium saman",FALSE,TRUE
1,"Platymiscium darienense","Platymiscium darienense",FALSE,FALSE
1,"Platymiscium dimorphandrum","Platymiscium dimorphandrum",FALSE,FALSE
1,"Platymiscium filipes","Platymiscium filipes",FALSE,FALSE
1,"Platymiscium floribundum","Platymiscium floribundum",TRUE,FALSE
1,"Platymiscium gracile","Platymiscium gracile",FALSE,FALSE
1,"Platymiscium pinnatum","Platymiscium pinnatum",TRUE,FALSE
1,"Platymiscium speciosum","Platymiscium speciosum",FALSE,FALSE
1,"Platymiscium stipulare","Platymiscium stipulare",TRUE,FALSE
1,"Platymiscium trinitatis","Platymiscium trinitatis",TRUE,FALSE
1,"Platymiscium ulei","Platymiscium ulei",FALSE,FALSE
1,"Pterocarpus amazonum","Pterocarpus amazonum",TRUE,FALSE
1,"Saraca thaipingensis","Saraca thaipingensis",FALSE,FALSE
1,"Spatholobus bracteolatus","Spatholobus bracteolatus",FALSE,FALSE
1,"Spatholobus oblongifolius","Spatholobus oblongifolius",FALSE,FALSE
1,"Tachigali argyrophylla","Tachigali argyrophylla",FALSE,FALSE
1,"Tachigali candelabrum","Tachigali candelabrum",FALSE,FALSE
1,"Tachigali catingae","Tachigali catingae",FALSE,FALSE
1,"Tachigali cavipes","Tachigali cavipes",TRUE,FALSE
1,"Tachigali cenepensis","Tachigali cenepensis",FALSE,FALSE
1,"Tachigali chrysophylla","Tachigali chrysophylla",FALSE,FALSE
1,"Tachigali dwyeri","Tachigali dwyeri",FALSE,FALSE
1,"Tachigali formicarum","Tachigali formicarum",FALSE,FALSE
1,"Tachigali fusca","Tachigali fusca",FALSE,FALSE
1,"Tachigali glauca","Tachigali glauca",FALSE,FALSE
1,"Tachigali grandistipulata","Tachigali grandistipulata",FALSE,FALSE
1,"Tachigali longiflora","Tachigali longiflora",FALSE,FALSE
1,"Tachigali loretensis","Tachigali loretensis",FALSE,FALSE
1,"Tachigali macbridei","Tachigali macbridei",FALSE,FALSE
1,"Tachigali myrmecophila","Tachigali myrmecophila",TRUE,FALSE
1,"Tachigali odoratissima","Tachigali odoratissima",FALSE,FALSE
1,"Tachigali paniculata","Tachigali paniculata",TRUE,FALSE
1,"Tachigali physophora","Tachigali physophora",FALSE,FALSE
1,"Tachigali plumbea","Tachigali plumbea",FALSE,FALSE
1,"Tachigali poeppigiana","Tachigali poeppigiana",FALSE,FALSE
1,"Tachigali ptychophysca","Tachigali ptychophysca",FALSE,FALSE
1,"Tachigali rigida","Tachigali rigida",FALSE,FALSE
1,"Tachigali schultesiana","Tachigali schultesiana",FALSE,FALSE
1,"Tachigali vaupesiana","Tachigali vaupesiana",FALSE,FALSE
1,"Tachigali venusta","Tachigali venusta",TRUE,FALSE
1,"Acacia horrida","Acacia horrida",TRUE,FALSE
1,"Sclerolobium chrysophyllum","Tachigali chrysophylla",TRUE,FALSE
1,"Tachigali myrmecophila","Tachigali glauca",TRUE,FALSE
1,"Sclerolobium odoratissimum","Tachigali odoratissima",TRUE,FALSE
1,"Tachigali rusbyi","Tachigali paniculata",TRUE,FALSE
